version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 972794921841 eni-00717e575f7327ff3 139.59.162.153 10.192.10.231 47487 8080 6 2 80 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35692 6 25 3277 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35692 22 6 20 2414 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35710 6 4 192 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35702 6 25 3277 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35682 6 12 1120 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.11.208 5000 34326 6 5 450 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35774 22 6 15 1770 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.10.41 5000 41916 6 5 450 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35710 22 6 5 290 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35774 6 14 2289 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 162.142.125.148 6443 59947 6 1 40 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 54.239.30.177 10.192.10.231 443 46900 6 21 6789 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 139.59.162.153 8080 47487 6 1 40 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35754 6 25 3277 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35734 22 6 20 2414 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35734 6 25 3277 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 162.142.125.148 10.192.10.231 59947 6443 6 1 44 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35702 22 6 20 2414 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.41 10.192.10.231 41916 5000 6 5 407 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.11.208 10.192.10.231 34268 5000 6 5 407 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35682 22 6 8 896 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35664 22 6 4 400 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35672 22 6 8 896 1633688651 1633688664 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 194.165.16.35 10.192.10.41 56649 5104 6 1 40 1633688675 1633688688 REJECT OK
2 972794921841 eni-02c8133124e8480ab 162.142.125.169 10.192.10.41 30697 8178 6 1 44 1633688675 1633688688 REJECT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.231 10.192.10.41 5000 42028 6 6 502 1633688675 1633688688 ACCEPT OK
2 972794921841 eni-02c8133124e8480ab 10.192.10.41 10.192.10.231 42028 5000 6 6 459 1633688675 1633688688 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35812 22 6 17 1986 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35712 22 6 4 400 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35788 6 25 3277 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35776 22 6 23 2570 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35786 6 25 3277 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 10.192.10.41 5000 41964 6 6 502 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35742 22 6 22 2518 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35750 22 6 22 2534 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35728 6 13 1172 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35804 22 6 20 2414 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35726 6 25 3277 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35724 6 16 1472 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35838 22 6 16 1822 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35720 22 6 4 400 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35690 6 4 384 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35726 22 6 22 2518 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35758 22 6 20 2414 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.11.208 10.192.10.231 34430 5000 6 5 407 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35750 6 24 3225 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35770 22 6 19 2362 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35822 22 6 19 2362 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35770 6 24 3225 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 3.81.145.168 10.192.10.231 35816 22 6 17 1970 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.11.208 10.192.10.231 34376 5000 6 5 407 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35822 6 22 3025 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35772 6 24 3225 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35776 6 25 3277 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 3.81.145.168 22 35804 6 22 3025 1633688676 1633688691 ACCEPT OK
2 972794921841 eni-00717e575f7327ff3 10.192.10.231 106.15.196.84 2375 48235 6 1 40 1633688676 1633688691 ACCEPT OK
